"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009"
"50" 75146 77818 80915 82096 83433 85023 85543 85704 87232 87859 88724 89590 90199 91083 91627 92044 92572 92809 93195 93344 93553 93959 94184 94358 94652 94934 95234 95487 95643 95819 95976 96113 96258 96320 96409 96561 96657 96807 96830 96914 96966 97029 97038 97073 97184 97058 97247 97270 97240 97325 97405 97489 97538 97543 97585 97571 97599 97659 97644 97696
"51" 74468 77192 80290 81482 82829 84451 84969 85124 86698 87351 88230 89085 89715 90631 91195 91616 92159 92408 92805 92962 93156 93609 93829 94016 94326 94627 94939 95193 95379 95544 95716 95853 96002 96073 96180 96326 96430 96592 96609 96702 96758 96829 96834 96873 96980 96861 97063 97060 97037 97130 97213 97303 97354 97369 97416 97398 97427 97488 97477 97540
"52" 73766 76535 79618 80805 82180 83853 84359 84529 86102 86790 87690 88568 89182 90133 90717 91141 91706 91977 92374 92529 92760 93218 93471 93644 93969 94285 94610 94874 95077 95262 95413 95574 95726 95797 95922 96062 96181 96356 96378 96472 96541 96613 96611 96658 96777 96632 96861 96866 96804 96913 97005 97106 97162 97182 97224 97206 97234 97306 97302 97364
"53" 72980 75806 78898 80114 81505 83211 83716 83877 85513 86180 87109 87986 88597 89612 90189 90654 91201 91511 91898 92084 92317 92793 93059 93245 93591 93912 94265 94535 94753 94943 95102 95265 95441 95504 95645 95784 95925 96097 96117 96237 96289 96376 96380 96429 96549 96397 96613 96643 96599 96678 96776 96891 96954 96974 97022 97003 97037 97115 97115 97178
"54" 72208 75016 78157 79360 80787 82519 83020 83185 84858 85524 86446 87379 87982 89042 89624 90097 90690 91005 91402 91600 91841 92327 92632 92798 93182 93496 93882 94167 94407 94610 94776 94951 95126 95199 95340 95491 95640 95825 95850 95969 96038 96101 96134 96181 96294 96144 96376 96395 96361 96463 96519 96639 96728 96753 96798 96791 96828 96903 96913 96978
"55" 71349 74239 77321 78572 80039 81775 82281 82452 84164 84836 85770 86710 87328 88415 89023 89485 90112 90459 90853 91070 91312 91825 92159 92362 92737 93071 93460 93788 94026 94250 94418 94605 94804 94873 95031 95170 95328 95513 95556 95677 95773 95816 95853 95924 96032 95873 96111 96149 96094 96207 96288 96372 96479 96508 96544 96551 96602 96679 96692 96764
"56" 70492 73371 76495 77697 79259 81006 81493 81644 83406 84112 85045 85995 86632 87756 88395 88839 89506 89866 90289 90496 90734 91301 91662 91868 92272 92607 93020 93373 93619 93859 94046 94240 94445 94511 94676 94844 94992 95190 95233 95367 95471 95512 95564 95627 95782 95577 95833 95875 95826 95918 96015 96138 96204 96242 96277 96292 96366 96432 96457 96542
"57" 69550 72460 75578 76816 78387 80191 80640 80785 82597 83333 84280 85234 85888 87042 87677 88139 88839 89235 89670 89887 90113 90718 91116 91324 91759 92107 92532 92904 93171 93443 93606 93844 94053 94134 94319 94477 94644 94843 94898 95022 95146 95187 95229 95316 95464 95280 95546 95581 95525 95628 95726 95863 95955 95949 95989 96020 96103 96172 96211 96297
"58" 68521 71450 74623 75834 77484 79299 79739 79867 81728 82474 83461 84430 85074 86287 86925 87395 88121 88527 88972 89224 89455 90091 90492 90737 91210 91559 92009 92396 92693 92978 93143 93410 93633 93712 93929 94098 94258 94475 94532 94663 94789 94848 94893 94969 95137 94937 95243 95265 95211 95316 95441 95548 95665 95688 95677 95716 95816 95899 95943 96043
"59" 67431 70350 73508 74763 76450 78313 78659 78838 80777 81518 82521 83503 84167 85385 86101 86545 87307 87742 88175 88453 88714 89435 89828 90091 90574 90966 91443 91865 92155 92481 92664 92928 93172 93268 93493 93672 93865 94058 94141 94259 94419 94460 94516 94602 94784 94595 94899 94950 94885 94976 95114 95238 95346 95380 95394 95387 95503 95598 95653 95765
"60" 66339 69256 72379 73637 75437 77257 77626 77785 79799 80524 81520 82524 83224 84477 85215 85676 86444 86902 87349 87668 87945 88707 89112 89411 89900 90318 90817 91293 91604 91914 92128 92405 92669 92795 93015 93201 93439 93646 93708 93845 93997 94044 94099 94194 94393 94194 94528 94575 94543 94605 94764 94905 95013 95052 95071 95093 95161 95280 95331 95462
"61" 65131 68055 71231 72428 74288 76124 76461 76669 78723 79470 80443 81480 82186 83517 84274 84709 85526 85995 86462 86795 87092 87911 88365 88669 89166 89636 90147 90638 90969 91333 91531 91841 92119 92262 92501 92705 92960 93165 93238 93392 93546 93604 93646 93742 93981 93775 94109 94181 94134 94223 94403 94551 94662 94709 94700 94756 94849 94928 94981 95140
"62" 63818 66783 69993 71140 73090 74944 75233 75419 77587 78313 79307 80348 81059 82450 83232 83661 84530 84999 85475 85827 86087 87013 87514 87841 88379 88854 89399 89933 90290 90669 90876 91192 91515 91665 91943 92155 92441 92660 92721 92898 93048 93122 93151 93275 93517 93288 93658 93746 93720 93793 94030 94172 94281 94323 94345 94361 94492 94599 94599 94773
"63" 62490 65414 68604 69794 71783 73626 73926 74056 76317 77136 78030 79155 79851 81286 82072 82507 83442 83904 84434 84801 85012 86042 86584 86945 87493 88030 88618 89144 89542 89965 90155 90513 90853 91005 91331 91549 91862 92098 92177 92376 92524 92600 92638 92746 93003 92773 93177 93273 93258 93337 93586 93771 93861 93928 93942 93968 94105 94214 94257 94384
