"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"31" 214238.47 262426.7 402526.82 388871.6 403417.06 396100.99 395005.89 391032.51 390564.4 386589.71 384084.71 381760.54 394472.19 383050.61 369395.49 368308.36 372685.95 372507.05 371675.49 369933.68 393602.18 402890.19 398707.33 363861.21 343703.7 342836.75 338164.13 335044.5 401494.65 411002.8 413291.34 398605.44 386788.43 377466.07 370089.64 373630.81 383482.71 390433.13 393419.66 391810.08 398122.05 411817.63 422255.08 431127.38 441824.7 454433.07 473177.84 472748.71 466223.57 454845.73 453341.97
"32" 225504.62 213640.84 259503.56 401291.06 387566.93 405429.45 394623.49 393608.62 389259.09 389008.67 384868.39 382366.13 380229.28 394248.37 382165.07 368564.96 367629.95 372122.84 372324.01 372441.27 369308.33 393140 402788.48 398088.15 364237.58 344437.29 343629.42 338899.41 335917.3 402657.28 411937.45 412968.57 401118.71 386404.06 377493.75 370241.12 373761.82 383637.61 390482.38 393234.38 391721.28 398070.79 411775.82 422562.5 431350.25 442033.7 454528.76 473127.66 472910.74 466498.27 455096.55
"33" 279648.22 224581.54 213012.73 258857.95 400075.04 389770.1 404163.27 393107.98 392207.34 387504.67 387430.43 383120.07 380817.15 379530.09 393998.54 381260.53 367761.43 366963.54 371530.72 372137.96 373206.06 368702.98 392744.43 402265.65 397453.97 364644.94 345142.88 344382.08 339604.69 336763.1 403808.91 412816.21 414676.41 400532.12 385969.7 377489.43 370358.59 373839.84 383786.51 390526.63 393043.1 391647.47 397975.1 411825.96 422871.92 431539.12 442219.71 454634.44 473135.47 473075.77 466772.96
"34" 348166.19 279058.26 223710.08 212340.54 258204.73 401287.69 388446.75 402946.16 391560.5 390818.57 385735.75 385822.2 381503.8 379671.09 378825.9 393751.72 380339 366880.9 366244.13 370944.61 371932.91 373967.84 368166.55 392730.82 401743.82 396847.8 365033.3 345832.48 345137.75 340313.96 337618.9 404935.65 415075.72 413961.21 399919.54 385525.33 377524.11 370477.06 373942.86 383946.41 390539.88 392829.82 391468.27 397777.77 411852.1 423142.34 431695.99 442395.71 454759.12 473130.29 473238.8
"35" 361608.27 347245.05 278401.87 223015.41 211668.89 259130.25 400017.76 387084.89 401626.54 390067 389456.79 383926.82 384325.73 380430.08 378572.02 378144.71 393463.9 379414.46 366025.37 365492.73 370320.5 371701.87 374332.28 368071.22 392715.22 401193.99 396215.62 365399.67 346533.07 345881.42 341020.24 338478.33 407363.29 414382.71 413221.01 399271.96 385078.96 377498.79 370559.53 374009.88 384044.3 390553.13 392610.59 391081.35 397554.44 411865.24 423383.77 431864.86 442585.72 454908.81 473143.11
"36" 373993.28 360093.21 346274.53 277387.68 222319.48 212049.67 258481.66 398780.58 385693.54 400332.92 388519.02 388029.02 382234.17 383108.04 379304.36 377455.95 377421.52 393216.08 378459.92 365164.84 364726.32 369697.39 371445.2 372949.75 368002.9 392684.62 400631.16 395563.45 365703.03 347197.67 346608.09 341680.64 340077.91 406607.77 413662.7 412490.81 398617.37 384581.6 377474.46 370634.01 374062.9 384138.2 390480.24 392432.71 390667.43 397305.1 411887.37 423653.19 432030.73 442805.72 455040.49
"37" 366710.34 373024.65 358608.52 344729.58 276360.92 223160.63 211354.22 257804.44 397466.47 384324.2 399003.81 386944.03 386738.91 381002.65 381878.34 378176.64 376305.88 376671.33 392920.26 377490.38 364266.31 363963.91 369151.8 371058.66 371558.21 367897.57 392638.01 400023.33 394899.27 366061.4 347872.26 347288.38 343466.23 339620.44 405871.26 412926.69 411739.61 397921.79 384093.23 377434.14 370720.48 374103.92 384133.87 390233.69 392237.84 390279.5 397019.77 411902.51 423931.61 432203.6 443012.73
"38" 353041.19 365325.7 372022.45 357412.01 343157.35 277531.1 222442.1 210667.21 257074.19 396203.87 382912.34 397677.7 385435.48 386018.67 379731.13 380653.65 377028.93 375167.82 375899.14 392548.44 376426.85 363344.78 363290.98 369130.92 370646.11 370155.68 367775.24 392556.41 399440.5 394236.09 366354.76 348500.52 348400.42 342837.25 339098.96 405132.74 412173.68 410973.4 397219.21 383608.86 377366.82 370752.95 374083.64 383702.24 389932.14 392014.96 389841.58 396713.44 411874.65 424174.03 432386.47
"39" 355760.12 351529 363969.74 370711.06 356192.42 344301.95 276508.36 221731.56 209939.66 256430.93 394938.27 381484.49 396338.24 384278.84 385208.44 378445.62 379357.96 375872.21 373995.75 375079.95 392150.62 375381.31 362546.23 363156.41 369019.03 370216.56 368740.15 367611.92 392477.81 398820.66 393527.92 366635.27 349535.41 347646.75 342156.28 338589.48 404306.23 411368.67 410168.2 396484.62 383064.5 377248.5 370729.89 373745.85 383254.6 389646.6 391779.08 389382.66 396445.11 411847.79 424434.45
"40" 347299.4 354476.76 350097.23 362615.35 369399.75 358157.35 342678.1 275443.65 220949.03 209188.12 255745.68 393627.67 380112.36 394791.88 383014.19 384402.2 377116.1 378119.26 374660.49 372774.68 374231.76 391754.8 374495.69 362513.91 363006.83 368933.15 369738.01 367332.61 367443.59 392393.21 398177.83 392783.61 367834.01 348853.22 346828.09 341518.3 338052 403481.71 410529.66 409327 395731.04 382502.13 377126.91 370522.68 373374.06 382820.97 389340.05 391561.2 388980.73 396187.77 411806.92
