"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"70" 182099 180681 187139 191644 189509 196191 196961 194150 198879 200213 203260 196760 203816 206950 217874 219148 214519 234066 233459 231059 236076 238752 249335 252189 247651 249531 250315 251870 250257 258886 257715 257474 246724 260046 257336 255345 169472 134952 143300 160915 181798 300003 295887 286452 284351 283796 287552 286583 282941 286364 284627
"71" 173891 175473 174153 180657 184642 183130 189884 190252 187784 192879 194494 197191 191533 200379 201320 212344 213115 208473 228091 226830 224480 229787 232591 243617 246374 242121 244508 244906 246823 245623 254236 253169 252829 242097 255371 252906 250871 166476 132608 140841 158245 179633 295738 291938 282554 280663 280156 283586 282859 279183 282770
"72" 167396 166879 167969 167423 173348 177957 176358 182712 183154 181412 186292 188157 190897 187460 194581 195471 206095 206863 202014 221240 219361 218165 222972 225977 237235 240207 236616 238501 239423 241376 240672 249021 248162 247812 237222 250630 248100 246194 163506 130219 138407 155757 177218 291159 287759 278317 276558 276269 279462 278825 275291
"73" 162617 159911 158936 160556 159857 166373 170746 168967 175295 176351 174762 179356 181660 186188 181259 188727 188716 199443 200036 195621 213107 212046 211134 215852 218797 230524 232533 230086 232303 233373 235587 235261 243369 242439 242456 232212 245695 243256 241541 160460 127974 135845 152972 174336 286020 283020 273575 271895 271981 274818 274390
"74" 150463 154468 151491 151190 152189 152648 158806 162911 161235 167799 168763 167276 172283 175796 179181 175240 181729 181839 192263 192683 188394 204951 204218 203712 208046 211203 223973 225340 223127 225413 226744 229169 229123 237037 236114 236805 226582 240208 237986 236492 157060 125348 133173 149886 171228 280483 277793 268375 266958 267276 269999
"75" 137838 142026 145349 143450 142424 144341 145118 150370 154906 153508 159925 160772 159795 166139 168066 172174 168108 174522 174284 184197 184397 181167 196571 196002 195854 199872 203272 216159 217929 215538 218109 219753 222219 222334 229914 229334 230444 220664 234515 232138 230984 153337 122543 130223 146449 167806 274330 272028 262924 261504 262121
"76" 124003 129210 132612 136680 134248 134120 136238 136971 141702 146772 145254 151507 152893 153189 157789 160571 164216 160537 166740 166188 175355 176283 173566 187780 187093 187620 192330 195097 208066 209815 207654 210190 211927 214705 214516 222269 221871 223272 214112 228127 225636 225110 149351 119326 126913 142778 163838 267658 265816 256864 255499
"77" 117991 115329 119598 123829 126860 125454 125737 127305 128862 133221 138185 136715 143016 145482 144464 149758 152043 156214 152359 157945 157163 166571 167574 165479 178177 177733 177469 183519 186941 199563 201278 199169 201626 203341 205856 206138 213541 213436 215610 206952 220964 218769 218627 144879 115841 123335 138782 159624 260323 259067 250143
"78" 86780 109061 105790 110758 113836 117789 116422 116675 118567 120642 124381 129086 128056 134991 136086 136044 140875 143767 147503 143166 148242 148459 157197 158442 156866 168190 168624 168343 174785 178115 190494 192052 189988 192500 193952 196937 197215 204525 204780 207549 199407 213714 211769 212005 140182 112360 119496 134524 155156 252678 251628
"79" 88385 79358 99223 96989 100791 104977 108364 106946 108040 109902 111928 114984 120524 119465 125001 127304 126652 131945 134580 137463 133133 138674 139167 147652 148703 147948 159084 158514 159075 165276 169072 180854 182255 180280 182714 184555 187285 187873 195591 195815 199115 191821 205743 204261 204473 135110 108364 115390 129921 150177 244240
