"1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000"
"43" 29842 30287 31174 32383 31548 31178 31936 31252 31491 29585 29800 29572 30521 29268 34198 32652 30307 31068 30713 29997 29447 28501 28571 27650 28182 27460 27749 27017 27997 28070 28766 29594 29893 29738 30965 31648 35166 37330 40053 41692 42758 41519 38879 36973 37175 35528 36398 36875 36384 36591 37060
"44" 29426 29790 30169 31071 32314 31456 31099 31837 31147 31410 29516 29695 29495 30454 29206 34113 32604 30242 30976 30614 29952 29432 28446 28527 27562 28115 27370 27683 26967 27950 28012 28700 29516 29800 29675 30909 31605 35091 37260 39946 41569 42717 41479 38833 36936 37128 35585 36389 36847 36349 36551
"45" 29003 29260 29689 30047 30980 32202 31354 31004 31723 31079 31322 29484 29621 29447 30358 29146 33819 32531 30177 30896 30542 29818 29359 28408 28440 27466 28000 27296 27617 26900 27880 27919 28604 29440 29720 29622 30837 31545 35020 37172 39848 41484 42647 41444 38832 36893 37173 35541 36341 36802 36295
"46" 28675 29207 29151 29590 29937 30870 32087 31229 30915 31603 30999 31100 29401 29539 29387 30286 28915 33725 32428 30079 30813 30491 29745 29293 28296 28357 27358 27892 27241 27523 26858 27759 27853 28519 29381 29656 29542 30775 31484 34925 37063 39753 41449 42562 41356 38765 36934 37161 35523 36284 36739
"47" 28221 28065 29092 29059 29478 29836 30763 31945 31098 30765 31522 30918 30997 29315 29479 29321 30128 28832 33599 32325 29987 30784 30406 29675 29178 28173 28251 27272 27823 27154 27454 26760 27663 27779 28429 29296 29586 29447 30685 31382 34853 36968 39671 41357 42487 41264 38757 36892 37122 35476 36191
"48" 27755 28145 27931 28965 28947 29355 29696 30649 31823 30994 30659 31317 30825 30902 29214 29383 29244 30039 28730 33488 32236 29890 30683 30284 29568 29132 28046 28138 27185 27742 27055 27340 26651 27575 27676 28332 29196 29482 29354 30568 31260 34738 36889 39575 41300 42345 41267 38677 36800 37041 35381
"49" 27228 27251 28016 27813 28848 28810 29243 29557 30533 31706 30882 30535 31228 30731 30794 29115 29241 29148 29930 28624 33368 32251 29754 30581 30150 29426 29001 27955 28078 27101 27633 26941 27219 26551 27459 27570 28224 29085 29374 29254 30469 31181 34619 36779 39477 41179 42311 41172 38575 36739 36924
"50" 26674 27047 27112 27872 27670 28712 28673 29090 29434 30404 31605 30765 30403 31107 30621 30668 29006 29126 29031 29806 28518 33175 32113 29648 30460 30030 29253 28831 27852 27977 26982 27524 26835 27102 26455 27349 27451 28148 28964 29278 29137 30357 31079 34477 36708 39376 41108 42215 41040 38476 36621
"51" 26111 26166 26913 26968 27748 27550 28579 28523 28946 29309 30244 31255 30636 30292 30990 30492 30557 28868 29003 28896 29667 28399 33010 31968 29516 30319 29886 29125 28703 27724 27829 26857 27417 26695 26987 26336 27244 27323 28037 28846 29168 29011 30262 30957 34355 36585 39313 40971 42113 40923 38372
"52" 25501 26631 26012 26794 26805 27611 27401 28404 28364 28819 29146 30244 31120 30513 30150 30850 30415 30404 28730 28869 28777 29408 28252 32839 31837 29374 30138 29760 28994 28585 27592 27694 26725 27271 26558 26846 26191 27104 27160 27897 28706 29051 28895 30140 30824 34235 36481 39149 40803 41969 40799
"53" 25215 24677 26441 25879 26635 26667 27442 27230 28247 28185 28661 28894 30108 30969 30362 30005 30660 30259 30263 28588 28743 28720 29240 28101 32664 31650 29206 29977 29625 28845 28454 27423 27535 26563 27103 26414 26711 26063 26948 27016 27750 28568 28929 28762 30030 30692 34126 36340 39005 40643 41836
"54" 24346 25516 24529 26255 25686 26464 26524 27256 27087 28078 28026 28390 28749 29958 30813 30207 29912 30505 30099 30107 28449 28576 28536 29075 27968 32517 31444 29022 29805 29440 28699 28277 27239 27381 26410 26907 26254 26538 25894 26811 26852 27594 28419 28816 28651 29895 30610 33981 36189 38845 40458
"55" 23282 24204 25314 24344 26085 25541 26298 26345 27067 26906 27899 27945 28223 28593 29760 30650 29843 29737 30322 29915 29943 28222 28409 28367 28927 27754 32310 31235 28840 29601 29262 28518 28084 27058 27225 26241 26722 26095 26369 25704 26614 26709 27438 28265 28667 28492 29818 30476 33823 36030 38651
"56" 22508 23019 23993 25135 24165 25847 25347 26107 26147 26876 26719 27609 27751 28044 28406 29565 30471 29644 29542 30139 29745 29691 28074 28217 28190 28735 27581 32079 31012 28664 29402 29060 28325 27903 26873 27046 26065 26522 25887 26183 25515 26440 26551 27279 28112 28495 28373 29668 30295 33661 35832
"57" 21690 22280 22797 23801 24918 23972 25657 25136 25913 25968 26716 26455 27412 27579 27828 28229 29314 30267 29429 29329 29931 29581 29498 27878 28019 27974 28503 27376 31856 30799 28460 29197 28824 28107 27683 26672 26825 25858 26309 25721 25976 25330 26262 26387 27098 27910 28403 28208 29483 30127 33449
"58" 21081 21297 22088 22614 23603 24689 23781 25455 24925 25697 25766 26573 26266 27207 27367 27591 27999 29092 30029 29223 29117 29568 29373 29306 27633 27798 27737 28286 27149 31620 30541 28225 28954 28598 27873 27484 26447 26618 25641 26085 25511 25734 25117 26069 26180 26902 27758 28232 28017 29311 29954
"59" 20513 20703 21087 21849 22348 23382 24450 23536 25225 24687 25448 25645 26355 26029 26987 27179 27352 27762 28850 29777 28978 28917 29320 29123 29080 27408 27570 27505 28071 26910 31381 30246 27981 28719 28349 27645 27232 26214 26383 25409 25868 25270 25520 24919 25844 25982 26741 27571 28078 27827 29087
"60" 19911 20122 20461 20843 21600 22111 23125 24179 23289 24995 24465 25247 25418 26110 25799 26761 26940 27129 27527 28587 29517 28685 28662 29054 28895 28851 27153 27283 27264 27813 26644 31076 29984 27718 28454 28094 27397 26947 25936 26114 25181 25618 25025 25323 24701 25652 25770 26541 27392 27817 27607
